link,judul,Tempat Terbit,Tanggal Penetapan,Tanggal Pengundangan,Sumber,Urusan Pemerintahan,Bidang Hukum,Bahasa,Pemrakarsa,Penandatanganan,Peraturan Terkait,Dokument Terkait,Hasil Uji Materi,Nama Pengarang,Tipe Pengarang,Jenis Pengarang,Jenis Dokumen,Status,Lampiran
https://jdih.bkn.go.id//dokumen/view?id=72,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 1 TAHUN 2020 TENTANG  TATA CARA PENETAPAN PENUGASAN PEGAWAI NEGERI SIPIL PADA INSTANSI PEMERINTAH DAN DI LUAR INSTANSI PEMERINTAH,DKI Jakarta,2020-02-26,2020-02-27,BN RI 2020 (179),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor1tahun2020--tatacarapenetapanpenugasanpns.pdf
https://jdih.bkn.go.id//dokumen/view?id=71,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 2 TAHUN 2020 TENTANG  ORGANISASI DAN TATA KERJA BADAN KEPEGAWAIAN NEGARA,DKI Jakarta,2020-02-26,2020-02-28,BN RI 2020 (189),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor2tahun2020--organisasidantatakerjabkn--05052020.pdf
https://jdih.bkn.go.id//dokumen/view?id=70,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 3 TAHUN 2020 TENTANG PETUNJUK TEKNIS  PEMBERHENTIAN  PEGAWAI NEGERI SIPIL,DKI Jakarta,2020-03-06,2020-04-08,BN RI 2020 (343),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor3tahun2020--juknispemberhentianpns.pdf
https://jdih.bkn.go.id//dokumen/view?id=69,"PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 4 TAHUN 2020 TENTANG PEDOMAN KRITERIA PENETAPAN KECELAKAAN KERJA, CACAT, DAN PENYAKIT AKIBAT KERJA, SERTA KRITERIA PENETAPAN TEWAS BAGI PEGAWAI APARATUR SIPIL NEGARA ",DKI Jakarta,2020-03-26,2020-04-07,BN RI 2020 (337),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor4tahun2020--pedomankriteriapenetapankecelakaankerjacacatdanpenyakitakibatkerjasertakriteriapenetapantewasbagipegawaiasn.pdf
https://jdih.bkn.go.id//dokumen/view?id=68,"PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 5 TAHUN 2020 TENTANG TATA CARA PEMBERIAN, PEMOTONGAN, DAN PENGHENTIAN PEMBAYARAN TUNJANGAN KINERJA PEGAWAI DI LINGKUNGAN BADAN KEPEGAWAIAN NEGARA ",DKI Jakarta,2020-03-26,2020-04-06,BN RI 2020 (330),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor5tahun2020--tatacarapemberianpemotongandanpenghentianpembayarantunjangankinerjapegawaidilingkunganbkn.pdf
https://jdih.bkn.go.id//dokumen/view?id=66,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 8 TAHUN 2020 TENTANG PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL PAMONG BUDAYA,DKI Jakarta,2020-08-06,2020-08-13,BN RI 2020 (905),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor8tahun2020--jfpamongbudaya.pdf
https://jdih.bkn.go.id//dokumen/view?id=65,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 9 TAHUN 2020 TENTANG PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL ANALIS KETAHANAN PANGAN,DKI Jakarta,2020-08-06,2020-08-13,BN RI 2020 (906),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor9tahun2020--jfakp.pdf
https://jdih.bkn.go.id//dokumen/view?id=64,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 10 TAHUN 2020 TENTANG PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL PENTASHIH MUSHAF AL-QUR'AN,DKI Jakarta,2020-08-06,2020-08-13,BN RI 2020 (907),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor10tahun2020--jfpentashihmushafalqur_an.pdf
https://jdih.bkn.go.id//dokumen/view?id=63,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 11 TAHUN 2020 TENTANG PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL PENGENDALI DAMPAK LINGKUNGAN,DKI Jakarta,2020-08-06,2020-08-13,BN RI 2020 (908),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor11tahun2020--jfpengendalidampaklingkungan.pdf
https://jdih.bkn.go.id//dokumen/view?id=67,PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 7 TAHUN 2020 TENTANG PEDOMAN PENYELENGGARAAN SERTIFIKASI KOMPETENSI TEKNIS MANAJEMEN APARATUR SIPIL NEGARA,DKI Jakarta,2020-04-07,2020-04-14,BN RI 2020 (370),Kepegawaian,Hukum Administrasi Negara,Indonesia,BKN,BIMA HARIA WIBISANA,Data Tidak Tersedia,Data belum Tersedia,Data belum Tersedia,Badan Kepegawaian Negara,Badan Organisasi,Pengarang Utama,PERATURAN LEMBAGA PEMERINTAH NON KEMENTERIAN,Berlaku,https://jdih.bkn.go.id/common/dokumen/peraturanbknnomor7tahun2020--pedomanpenyelenggaraansertifikasikompetensiteknismanajemenasn.pdf
